name,model,brand,price,elabel,bodytype,length,height,width,weighttotal,emissionsco2,modeldate,fueltype,numberofdoors,numberofforwardgears,seatingcapacity,drivewheelconfiguration,fuelcapacity,fuelconsumption,speed,payload,veenginetype,veenginedisplacement,veenginepower,Buyer,Payment_Method,Price_at_Order,Order_Date
Seat Toledo 1.4 TSI 125hp Style Connect,Seat Toledo,Seat,22.45,C,hatchback,4482,1461,1706,1130,114 g/km,2010,petrol,5,7,5,front,55,4.8,209,560,ohc,1395,92,Shannon Spencer,Credit Card,22.36,2/9/2025
Rover 75 Tourer 2.5 V6 Ambition,Rover 75 Tourer,Rover,41.14,G,stationwagon,4790,1393,1778,1505,254 g/km,2010,petrol,5,5,5,front,65,10.6,206,585,dohc,2497,130,Jacqueline Gonzalez,Bank Transfer,48.07,11/26/2022
Volvo V70 D4 Nordic,Volvo V70,Volvo,39.995,C,stationwagon,4823,1547,1861,1566,119 g/km,2010,diesel,5,6,5,front,70,4.5,210,734,dohc,1984,120,Samantha Tucker,Credit Card,36.63,3/13/2023
Mercedes C 280 Avantgarde,Mercedes-Benz C-class,Mercedes,47.1,G,sedan,4526,1427,1728,1435,225 g/km,2010,petrol,4,6,5,rear,62,9.4,250,580,ohc,2996,170,Steven Cisneros,Cash,48.45,1/31/2024
Volkswagen Golf Sportsvan 1.6 TDI 116hp Highline Business,Volkswagen Golf Sportsvan,Volkswagen,35.62,E,mpv,4338,1578,1807,1320,108 g/km,2010,diesel,5,5,5,front,50,3.9,192,600,dohc,1598,85,Stephanie Daniel,Credit Card,41.66,4/28/2021
Saab 9-3 S 2.3,Saab 9-3,Saab,29.471,N.A.,hatchback,4629,1428,1711,1360,187 g/km,2010,petrol,5,4,5,front,68,10.2,205,510,dohc,2290,110,Evan Wall,Credit Card,28.75,6/21/2025
Opel Vectra 1.6i-16V GL Plus,Opel Vectra,Opel,19.717,N.A.,hatchback,4477,1428,1707,1187,187 g/km,2010,petrol,5,5,5,front,60,8,188,558,dohc,1598,74,Benjamin Kirby,Bank Transfer,19.17,5/21/2023
Saab 9-3 Sport Estate 1.8t Vector Sport,Saab 9-3 Sport Estate,Saab,43.28,G,stationwagon,4670,1498,1802,1470,214 g/km,2010,petrol,5,5,5,front,58,8.9,200,580,dohc,1998,110,Kevin Garza,Credit Card,39.26,5/17/2019
Mini Countryman One D Business Edition,Mini Countryman,Mini,41.767,F,suv/crossover,4299,1557,1822,1405,119 g/km,2010,diesel,5,6,5,front,51,4.5,190,806,dohc,1496,320,Robert White,Bank Transfer,41.79,4/2/2024
Volkswagen Polo 1.1 C,Volkswagen Polo,Volkswagen,8.053,N.A.,sedan,3975,1355,1580,725,187 g/km,2010,petrol,2,4,5,front,36,7.9,146,425,ohc,1093,37,Andrew Campbell,Bank Transfer,7.71,8/3/2020
Skoda Karoq 1.6 TDI Greentech Style,Skoda Karoq,Skoda,39.565,E,suv/crossover,4382,1603,1841,1326,117 g/km,2010,diesel,5,7,5,front,50,4.4,188,658,dohc,1598,0,Christopher Pham,Cash,44.89,6/14/2025
Toyota Cressida 2.0i GL,Toyota Cressida,Toyota,22.029,-,sedan,4690,1420,1690,1305,187 g/km,2010,petrol,4,5,5,rear,70,9.1,190,450,ohc,1998,110,Sandra Riggs,Bank Transfer,21.02,7/18/2024
Hyundai i10 1.2i i-Vision,Hyundai i10,Hyundai,12.195,C,hatchback,3585,1540,1595,885,108 g/km,2010,petrol,5,5,5,front,35,4.6,169,525,ohc,1248,63,Aaron Bonilla,Cash,12.41,4/24/2024
Renault Megane 2.0 16V T 165 Dynamique Luxe,Renault Megane,Renault,27.795,N.A.,hatchback,4209,1457,1777,1250,187 g/km,2010,petrol,5,6,5,front,60,8.1,220,565,dohc,1998,120,Margaret Ortiz,Bank Transfer,28.41,1/11/2025
Audi A8 4.2 TDI quattro,Audi A8,Audi,125.855,G,sedan,5062,1444,1894,1945,253 g/km,2010,diesel,4,6,5,front+rear,90,9.4,250,600,dohc,4134,240,William Young,Credit Card,120.47,3/2/2020
Ford Escort Wagon 1.6i Pacific Cool,Ford Escort Wagon,Ford,15.653,G,stationwagon,4300,1359,1685,1097,193 g/km,2010,petrol,5,5,5,front,55,8.2,177,553,dohc,1597,66,Christopher Jordan,Cash,15.8,11/15/2024
Audi A3 2.0 TDI 140hp Ambition Business Edition,Audi A3,Audi,30.505,G,hatchback,4238,1421,1765,1320,134 g/km,2010,diesel,3,6,5,front,55,5.1,207,560,dohc,1968,103,Michael Harris,Cash,28.37,7/11/2022
Opel Rekord Caravan 2.0 E Berlina,Opel Rekord Caravan,Opel,17.029,N.A.,stationwagon,4678,1470,1720,1150,187 g/km,2010,petrol,5,4,5,rear,70,9.1,181,650,ohc,1979,81,Brian Wiley,Bank Transfer,19.95,12/31/2021
Opel Ascona 1.6 S GT,Opel Ascona,Opel,13.955,N.A.,hatchback,4264,1385,1668,1006,187 g/km,2010,petrol,5,4,5,front,61,7.1,165,494,ohc,1598,60,Dr. Katrina West PhD,Credit Card,15.62,6/19/2023
Opel Corsa 1.2 Anniversary Edition,Opel Corsa,Opel,17.095,D,hatchback,3999,1488,1713,1030,125 g/km,2010,petrol,3,6,5,front,45,5.3,172,525,dohc,1229,63,Joseph Gordon,Credit Card,15.48,3/26/2025
Land Rover Freelander Hardback 2.5i V6 E,Land Rover Freelander Hardback,Land Rover,36.1,G,suv/crossover,4382,1757,1805,1567,298 g/km,2010,petrol,3,5,4,front+rear,59,12.4,182,493,dohc,2497,130,Bryan Holland,Credit Card,42.3,9/24/2019
Kia Sportage 2.0 CVVT 4WD Adventure,Kia Sportage,Kia,28.195,G,suv/crossover,4350,1695,1840,1523,194 g/km,2010,petrol,5,5,5,front+rear,58,8.2,176,617,dohc,1975,104,Lydia Cox,Cash,33.75,10/9/2018
Peugeot 1007 Urban 1.4,Peugeot 1007,Peugeot,14.99,G,mpv,3731,1620,1686,1120,147 g/km,2010,petrol,3,5,5,front,40,6.2,165,439,ohc,1360,55,Mary Knight,Bank Transfer,17.87,4/28/2020
Nissan Micra 1.0 GL,Nissan Micra,Nissan,12.545,G,hatchback,3720,1440,1585,930,146 g/km,2010,petrol,5,3,5,front,42,6.1,140,425,dohc,998,40,Derrick James,Cash,13.67,3/25/2021
Renault 19 GTS,Renault 19,Renault,12.071,N.A.,hatchback,4155,1416,1694,950,187 g/km,2010,petrol,5,5,5,front,55,7.4,173,465,ohc,1721,55,Courtney Cooper,Bank Transfer,11.67,9/10/2024
Opel Vectra GTS 2.2-16V DGi,Opel Vectra GTS,Opel,32.655,G,hatchback,4596,1460,1798,1380,204 g/km,2010,petrol,5,5,5,front,61,8.5,212,575,dohc,2198,108,Kayla Johnson,Cash,32.98,9/14/2020
Mercedes A 220 d,Mercedes-Benz A-class,Mercedes,42.676,E,hatchback,4299,1433,1780,1385,104 g/km,2010,diesel,5,7,5,front,50,4,224,625,dohc,2143,130,Sandy Leblanc,Bank Transfer,43.19,7/18/2024
Audi A8 L 3.0 TFSI quattro Pro Line,Audi A8,Audi,106.22,B,sedan,5265,1460,1949,1855,174 g/km,2010,petrol,4,8,5,front+rear,82,7.6,250,675,dohc,2995,228,Christine Thompson,Cash,110.52,3/25/2019
Peugeot 305 SRD,Peugeot 305,Peugeot,15.143,-,sedan,4260,,1636,996,187 g/km,2010,diesel,4,5,5,front,53,5.9,152,479,ohc,1905,48,Steven Maldonado,Bank Transfer,16.07,10/9/2020
Toyota RAV4 2.2 D-4D-F 4WD Dynamic,Toyota RAV4,Toyota,42.52,G,suv/crossover,4365,1685,1815,1570,159 g/km,2010,diesel,5,6,5,front+rear,60,6,190,620,dohc,2231,110,Mark White,Credit Card,41.84,9/27/2019
Suzuki Grand Vitara XL-7 2.7 V6,Suzuki Grand Vitara XL-7,Suzuki,36.299,G,suv/crossover,4700,1740,1780,1580,260 g/km,2010,petrol,5,5,5,front+rear,66,10.8,175,620,dohc,2736,127,Kimberly Johnson,Bank Transfer,39.37,4/16/2019
Mini Clubman One D,Mini Clubman,Mini,32.467,F,stationwagon,4253,1441,1800,1295,112 g/km,2010,diesel,5,6,5,front,48,3.8,192,605,dohc,1496,0,Jesus Bryant,Credit Card,33.65,5/7/2024
Volkswagen Crafter L2H1 32 2.0 TDI 109hp BMT,Volkswagen Crafter Kombi,Volkswagen,60.453,A,van,5905,2415,1993,1905,181 g/km,2010,diesel,4,6,2,rear,75,7.6,149,1295,dohc,1968,80,Diana Bradford,Bank Transfer,69.82,6/30/2021
Kia Sportage 1.6 T-GDI DynamicLine,Kia Sportage,Kia,39.505,F,suv/crossover,4485,1645,1855,1445,173 g/km,2010,petrol,5,6,5,front,62,7.5,205,665,dohc,1591,0,Adam Kaiser,Bank Transfer,44.73,11/28/2024
Opel Omega 2.4i GL,Opel Omega,Opel,20.703,N.A.,sedan,4687,1445,1772,1270,187 g/km,2010,petrol,4,5,5,rear,75,9.3,200,585,ohv,2410,92,Donna Jenkins,Bank Transfer,19.85,9/6/2019
Peugeot 206 Gentry 1.4,Peugeot 206,Peugeot,15.83,G,hatchback,3822,1428,1652,955,165 g/km,2010,petrol,5,4,5,front,50,6.9,160,525,ohc,1360,55,Brandon Castillo,Bank Transfer,14.95,10/14/2022
Volvo S60 2.4 140hp Bi-Fuel CNG Drivers Edition II,Volvo S60,Volvo,41.545,E,sedan,4603,1428,1804,1489,159 g/km,2010,LPG,4,5,5,front,70,8.9,210,531,dohc,2435,103,Martha King,Credit Card,46.74,1/28/2021
Opel Vectra GTS 1.9 CDTi 150hp,Opel Vectra GTS,Opel,33.005,G,hatchback,4596,1460,1798,1455,159 g/km,2010,diesel,5,6,5,front,61,5.9,217,575,dohc,1910,110,Sheila Lowe,Bank Transfer,33.76,7/10/2021
Volvo V70 D4 Kinetic,Volvo V70,Volvo,43.995,B,stationwagon,4814,1547,1861,1558,109 g/km,2010,diesel,5,6,5,front,70,4.1,220,702,dohc,1969,133,Katherine Saunders,Cash,40.69,3/29/2025
Rover Tourer Turbo Diesel,Rover Tourer,Rover,21.323,G,sedan,4370,1400,1680,1090,187 g/km,2010,diesel,3,5,5,voor,55,5.7,180,560,ohc,1769,0,Gail Durham,Credit Card,21.81,7/7/2019
Volkswagen Sharan 1.4 TSI BMT Highline,Volkswagen Sharan,Volkswagen,51.39,D,mpv,4854,1738,1904,1623,167 g/km,2010,petrol,5,6,5,front,70,7.2,197,667,dohc,1390,110,Jackson Williams,Credit Card,49.11,6/29/2022
BMW 120d Executive,BMW 1-serie,BMW,36.14,G,hatchback,4239,1421,1748,1340,128 g/km,2010,diesel,3,6,4,rear,51,4.8,228,525,dohc,1995,130,Kimberly Jones,Cash,35.05,5/4/2025
Kia Ceed 1.4 T-GDi GT-Line,Kia Ceed,Kia,31.25,D,hatchback,4310,1447,1800,1245,127 g/km,2010,petrol,5,7,5,front,50,5.6,206,605,dohc,1353,0,Nicholas Greene,Bank Transfer,33.72,5/14/2019
Mini One,Mini Mini,Mini,21.134,D,hatchback,3821,1414,1727,1065,111 g/km,2010,petrol,3,6,4,front,40,4.9,195,505,dohc,1499,0,Heather Diaz,Credit Card,21.73,11/11/2023
Hyundai ix35 2.0 CRDi VGT HP StyleVersion 4WD,Hyundai ix35,Hyundai,40.29,G,suv/crossover,4410,1670,1820,1500,158 g/km,2010,diesel,5,6,5,front+rear,58,6,194,640,dohc,1998,135,Gabriela Alexander,Credit Card,47.53,1/2/2024
Ford Mondeo 1.6 TDCi ECOnetic Lease Platinum,Ford Mondeo,Ford,32.895,B,hatchback,4784,1500,1886,1396,112 g/km,2010,diesel,5,6,5,front,70,4.3,190,759,dohc,1560,85,Kimberly Stevenson,Credit Card,33.34,6/15/2023
Volkswagen Passat 1.4 TSI 160hp Highline,Volkswagen Passat,Volkswagen,38.89,D,sedan,4769,1470,1820,1402,149 g/km,2010,petrol,4,6,5,front,70,6.5,220,628,dohc,1390,118,Daniel Archer,Bank Transfer,39.61,7/18/2019
Volkswagen Passat 1.9 TDI 105hp Sportline,Volkswagen Passat,Volkswagen,34.19,G,sedan,4765,1472,1820,1397,151 g/km,2010,diesel,4,5,5,front,70,5.7,188,633,ohc,1896,77,Monica Jennings,Cash,33.8,12/22/2020
Volvo 960 Estate 3.0i 24 Valve Comfort-Line,Volvo 960 Estate,Volvo,45.809,N.A.,stationwagon,4860,1460,1750,1541,187 g/km,2010,petrol,5,4,5,rear,80,11.1,210,519,dohc,2922,150,Patricia Clark,Cash,54.53,1/22/2021
Ford C-MAX 1.6 TI-VCT 125hp FlexiFuel Titanium,Ford C-MAX,Ford,27.13,E,mpv,4380,1626,1828,1274,154 g/km,2010,bio-ethanol,5,5,5,front,55,6.6,188,586,dohc,1596,92,Jasmine Phillips,Cash,25.5,6/14/2023
Volkswagen Santana 1.6 Diesel CX,Volkswagen Santana,Volkswagen,13.384,N.A.,sedan,4545,1400,1695,1025,187 g/km,2016,petrol,4,4,5,front,60,6.4,140,475,ohc,1588,40,Tracy Humphrey,Bank Transfer,12.44,11/16/2020
Skoda Octavia Combi 1.2 TSI Comfort Businessline,Skoda Octavia Combi,Skoda,21.25,D,stationwagon,4569,1450,1769,1180,134 g/km,2010,petrol,5,6,5,front,55,5.7,191,700,ohc,1197,77,Andrew Jones,Credit Card,21.24,8/8/2019
Skoda Fabia Combi 1.4 68hp Ambiente,Skoda Fabia Combi,Skoda,12.9,G,stationwagon,4222,1452,1646,1100,170 g/km,2010,petrol,5,5,5,front,45,7.1,164,515,ohv,1397,50,Michelle Clayton,Bank Transfer,15.44,6/24/2022
Volkswagen Transporter L2H1 30 2.0 TSI Highline,Volkswagen Transporter Kombi,Volkswagen,63.907,F,van,5292,1990,1904,1865,224 g/km,2010,petrol,4,6,7,front,80,9.6,200,1135,dohc,1984,150,William Aguilar,Cash,65.49,1/20/2022
Seat Leon 1.8 TSI FR,Seat Leon,Seat,30.15,C,hatchback,4271,1444,1816,1227,129 g/km,2010,petrol,5,7,5,front,50,5.7,224,623,dohc,1798,132,Allison Ramos,Cash,31.93,3/4/2021
Suzuki Swift 1.3 GTi,Suzuki Swift,Suzuki,13.611,N.A.,hatchback,3745,1350,1585,810,187 g/km,2010,petrol,3,5,5,front,40,6.9,182,470,ohc,1298,74,Judy Snow,Cash,14.45,1/16/2020
Land Rover Discovery Sport P200 R-Dynamic S,Land Rover Discovery Sport,Land Rover,73.535,F,suv/crossover,4597,1727,1895,1901,177 g/km,2010,petrol,5,9,7,front+rear,67,7.8,207,649,dohc,1997,0,Alan Bender,Cash,72.64,6/30/2021
Seat Leon 1.6 TDI Ecomotive Style,Seat Leon,Seat,24.99,C,hatchback,4263,1459,1816,1186,88 g/km,2010,diesel,5,6,5,front,50,3.3,195,634,dohc,1598,81,Vincent Chan,Bank Transfer,23.68,6/15/2023
Skoda Fabia 1.4 TDI 70hp Elegance,Skoda Fabia,Skoda,18.32,G,hatchback,3960,1451,1646,1095,127 g/km,2010,diesel,5,5,5,front,45,4.7,162,540,ohc,1422,51,Jeffery Burns,Bank Transfer,20.01,11/24/2022
Audi A3 1.6 Attraction Business Edition,Audi A3,Audi,23.775,G,hatchback,4238,1421,1765,1185,162 g/km,2010,petrol,3,5,5,front,55,6.8,185,560,ohc,1595,75,Ann Snow,Credit Card,24.42,11/22/2024
BMW 330xi Executive,BMW 3-serie,BMW,56.545,G,sedan,4471,1434,1739,1535,257 g/km,2010,petrol,4,5,5,front+rear,63,10.6,242,525,dohc,2979,170,Keith Lynch,Bank Transfer,67.62,5/8/2021
Opel Corsa 1.0 S GLS,Opel Corsa,Opel,8.761,N.A.,sedan,3955,1360,1540,736,187 g/km,2010,petrol,2,4,5,front,42,6.2,143,484,ohc,993,33,Kurt Meyers,Credit Card,10.29,12/29/2021
Lexus IS 220d Luxury Line,Lexus IS,Lexus,50.58,G,sedan,4585,1440,1800,1550,148 g/km,2010,diesel,4,6,5,rear,65,5.6,220,525,dohc,2231,130,Brandy Peterson,Bank Transfer,57.92,1/9/2021
Volvo V60 T4 Ocean Race,Volvo V60,Volvo,46.495,B,stationwagon,4628,1484,1865,1478,135 g/km,2010,petrol,5,6,5,front,68,5.8,225,652,dohc,1969,140,Derek Lloyd,Bank Transfer,46.26,2/20/2021
Opel Insignia Sports Tourer 2.0 Turbo Edition,Opel Insignia Sports Tourer,Opel,36.595,F,stationwagon,4908,1520,1858,1625,199 g/km,2010,petrol,5,6,5,front,70,8.5,236,655,dohc,1998,162,Patricia Snyder,Bank Transfer,39.93,11/28/2020
BMW i3s 94Ah Range Extender,BMW i3,BMW,47.906,A,hatchback,4006,1590,1791,1360,14 g/km,2010,petrol,5,3,4,rear,9,0.6,160,420,dohc,647,0,Juan Garrett,Bank Transfer,49.06,4/26/2019
Peugeot 5008 Allure 2.0 HDi 5P,Peugeot 5008,Peugeot,37.78,G,mpv,4529,1639,1837,1538,154 g/km,2010,diesel,5,6,5,front,60,5.9,190,587,dohc,1997,110,Ryan Richardson,Cash,35.22,6/18/2024
Volkswagen Passat 1.8 90hp GL,Volkswagen Passat,Volkswagen,21.06,N.A.,sedan,4575,1430,1705,1148,187 g/km,2010,petrol,4,5,5,front,70,7.9,177,552,ohc,1781,66,Shane Brown,Cash,24.82,9/28/2022
Opel Vectra 1.6i-16V Pearl Sport,Opel Vectra,Opel,21.464,G,sedan,4495,1405,1707,1180,178 g/km,2010,petrol,4,5,5,front,60,7.4,193,605,dohc,1598,74,Rebecca Davis,Credit Card,20.61,8/13/2021
Ford Focus 1.6 TDCi 90hp Trend,Ford Focus,Ford,24.355,E,hatchback,4337,1500,1839,1252,115 g/km,2010,diesel,5,5,5,front,53,4.5,177,583,dohc,1560,66,Robert Wilcox,Cash,22.04,3/3/2022
Volkswagen Jetta 1.4 TSI 122hp Highline,Volkswagen Jetta,Volkswagen,29.174,D,sedan,4644,1482,1778,1245,144 g/km,2010,petrol,4,6,5,front,55,6.2,202,605,dohc,1390,90,Nicole Wilson,Credit Card,33.01,3/26/2023
Seat Altea XL Stationwagon 2.0 TDI 170hp Businessline,Seat Altea XL Stationwagon,Seat,32.09,G,stationwagon,4467,1581,1768,1444,149 g/km,2010,diesel,5,6,5,front,55,5.7,211,645,ohc,1968,125,Benjamin Thompson,Bank Transfer,35.23,11/2/2018
Opel Zafira 2.0 DTi-16V Comfort,Opel Zafira,Opel,25.395,G,mpv,4317,1634,1742,1460,178 g/km,2010,diesel,5,5,7,front,58,6.6,175,625,dohc,1995,74,Troy Sanchez,Bank Transfer,28.36,3/17/2022
Mercedes A 180 BlueEFFICIENCY Prestige,Mercedes-Benz A-class,Mercedes,36.573,C,hatchback,4299,1433,1780,1270,120 g/km,2010,petrol,5,6,5,front,50,5.2,190,655,dohc,1595,90,Katherine Alexander,Bank Transfer,33.74,6/2/2025
Saab 900i 16,Saab 900,Saab,24.935,N.A.,hatchback,4687,1420,1693,1230,187 g/km,2010,petrol,5,5,5,front,63,10.1,180,600,dohc,1985,94,Robert Maynard,Credit Card,25.12,2/14/2019
Volvo V70 D4 Kinetic,Volvo V70,Volvo,46.795,D,stationwagon,4814,1547,1861,1585,130 g/km,2010,diesel,5,6,5,front,70,4.9,205,725,dohc,1984,120,Gina Henderson,Credit Card,49.08,11/12/2020
BMW X4 xDrive20d Business,BMW X4,BMW,65.321,E,suv/crossover,4671,1624,1881,1705,138 g/km,2010,diesel,5,8,5,front+rear,67,5.2,212,615,dohc,1995,140,Donald Lopez,Cash,64.57,4/10/2022
Dacia Lodgy TCe 115 Laureate 7P,Dacia Lodgy,Dacia,18.59,D,mpv,4498,1682,1751,1180,140 g/km,2010,petrol,5,5,7,front,50,6,179,695,ohc,1199,85,Brian Diaz,Bank Transfer,17.62,2/19/2025
Maserati Quattroporte 3.0 V6 S Q4 GranLusso,Maserati Quattroporte,Maserati,162.035,E,sedan,5264,1481,1948,1920,226 g/km,2010,petrol,4,8,5,front+rear,80,9.7,286,620,dohc,2979,301,Jessica Vazquez,Credit Card,175.41,2/15/2025
Fiat Punto Evo 1.3 Multijet 16v 85 MyLife,Fiat Punto Evo,Fiat,14.795,C,hatchback,4065,1490,1687,1105,90 g/km,2010,diesel,3,5,4,front,45,3.5,172,585,dohc,1248,63,Makayla Neal,Bank Transfer,14.16,1/23/2025
Opel Corsa 1.0 Turbo 115hp Online Edition,Opel Corsa,Opel,19.949,C,hatchback,4021,1481,1736,1099,115 g/km,2010,petrol,5,6,5,front,45,4.9,195,536,dohc,999,85,Ashley Allen,Cash,23.72,11/22/2020
Volkswagen New Beetle 2.0 Highline,Volkswagen New Beetle,Volkswagen,29.1,G,hatchback,4081,1498,1724,1227,228 g/km,2010,petrol,3,4,4,front,55,9.5,182,448,ohc,1984,85,Andrew Page,Credit Card,28.11,11/25/2019
Opel Zafira 1.8 Edition,Opel Zafira,Opel,26.645,F,mpv,4476,1635,1801,1403,168 g/km,2010,petrol,5,5,7,front,58,7.2,197,677,dohc,1796,103,Sarah Cruz,Credit Card,29.41,8/1/2019
Peugeot 308 XS 1.6 HDiF 90hp,Peugeot 308,Peugeot,25.65,F,hatchback,4276,1498,1821,1297,120 g/km,2010,diesel,5,5,5,front,60,4.5,182,650,dohc,1560,66,Paul Lee,Credit Card,26.69,12/2/2021
Cadillac BLS Wagon 2.0T 175hp Business,Cadillac BLS Wagon,Cadillac,44.6,G,stationwagon,4716,1543,1752,1540,222 g/km,2010,petrol,5,5,5,front,58,9.3,210,560,dohc,1998,129,Jennifer Sawyer,Bank Transfer,43.24,7/17/2019
Skoda Octavia Combi 1.6 TDI Greentech Comfort Businessline,Skoda Octavia Combi,Skoda,25.15,E,stationwagon,4569,1450,1769,1275,109 g/km,2010,diesel,5,5,5,front,55,4.2,191,700,dohc,1598,77,Jennifer Bowman,Credit Card,27.98,9/21/2020
Kia Ceed Sporty Wagon 2.0 CVVT X-ecutive,Kia Ceed Sporty Wagon,Kia,24.195,G,stationwagon,4470,1525,1790,1309,182 g/km,2010,petrol,5,4,5,front,53,7.6,195,591,dohc,1975,105,Alicia Graham,Cash,26.62,3/3/2025
Peugeot 5008 Active 1.6 HDi 7P,Peugeot 5008,Peugeot,34.1,E,mpv,4529,1639,1837,1477,124 g/km,2010,diesel,5,6,7,front,60,4.7,185,773,dohc,1560,84,Beth Mccormick,Bank Transfer,36.45,8/5/2020
Kia Picanto 1.0 CVVT EconomyPlusLine 4-zits,Kia Picanto,Kia,11.945,B,hatchback,3595,1485,1595,830,90 g/km,2010,petrol,5,5,4,front,35,4,158,470,dohc,998,49,Dominique Hendrix,Cash,11.93,4/27/2025
Nissan Primera 2.2 DCT Tekna,Nissan Primera,Nissan,30.2,G,hatchback,4567,1482,1760,1394,159 g/km,2010,diesel,5,6,5,front,62,5.9,195,546,dohc,2184,93,Jesse Williams Jr.,Credit Card,31.48,7/22/2023
BMW 520d Touring Executive,BMW 5-serie Touring,BMW,60.132,D,stationwagon,4907,1462,1860,1710,129 g/km,2010,diesel,5,8,5,rear,70,4.9,224,675,dohc,1995,135,Kevin Ware MD,Cash,61.56,4/12/2022
Mercedes B 200 d Business Solution,Mercedes-Benz B-class,Mercedes,39.967,E,mpv,4393,1557,1786,1405,104 g/km,2010,diesel,5,7,5,front,50,4,210,620,dohc,2143,100,Jennifer Smith,Credit Card,47.67,7/5/2024
Volkswagen Golf 1.6 TDI 110hp BlueMotion Highline,Volkswagen Golf,Volkswagen,32.15,C,hatchback,4255,1452,1799,1202,85 g/km,2010,diesel,5,6,5,front,50,3.2,200,538,dohc,1598,81,Charles Martinez,Cash,37.48,12/30/2020
Jeep Grand Cherokee 2.7 CRD Overland,Jeep Grand Cherokee,Jeep,68.815,G,suv/crossover,4613,1800,1860,1955,257 g/km,2010,diesel,5,5,5,front+rear,78,9.7,190,551,ohv,2685,120,Laurie Morrow,Cash,66.18,3/28/2023
BMW 428i Coupe,BMW 4-serie Coupe,BMW,51.399,D,coupe,4638,1362,1825,1445,147 g/km,2010,petrol,2,8,4,rear,60,6.3,250,545,dohc,1997,180,Maxwell Snyder,Cash,52.16,2/8/2024
Rover 45 2.0 IDT 113hp Club,Rover 45,Rover,23.04,G,hatchback,4360,1390,1695,1305,154 g/km,2010,diesel,5,5,5,front,55,5.4,185,806,ohc,1994,83,Diana Li,Bank Transfer,23.75,1/11/2020
Skoda Octavia Combi 1.4 TSI 150hp Greentech Style Business,Skoda Octavia Combi,Skoda,32.7,B,stationwagon,4667,1461,1814,1191,117 g/km,2010,petrol,5,7,5,front,50,5,216,670,ohc,1395,110,Timothy Baker,Bank Transfer,37.71,3/8/2020
Fiat Idea 1.4 16v Dynamic Plus,Fiat Idea,Fiat,19.29,N.A.,mpv,3930,1660,1698,1135,187 g/km,2010,petrol,5,5,5,front,47,6.4,175,520,dohc,1368,70,Natasha Coleman,Cash,18.75,3/26/2023
Peugeot 3008 GT 2.0 BlueHDI 180,Peugeot 3008,Peugeot,49.24,F,mpv,4447,1624,1844,1440,129 g/km,2010,diesel,5,6,5,front,60,5.7,207,650,dohc,1997,132,Ryan Mccarty,Cash,56.75,6/1/2024
Peugeot 508 SW Blue Lease Premium 1.6 e-THP 165,Peugeot 508 SW,Peugeot,38.84,B,stationwagon,4813,1476,1853,1405,131 g/km,2010,petrol,5,6,5,front,72,5.7,210,695,dohc,1598,121,Bobby Butler,Cash,45.44,12/13/2020
Jaguar XJ 3.0D V6 Premium Luxury,Jaguar XJ ---,Jaguar,127.095,G,sedan,5130,1460,1899,1775,149 g/km,2010,diesel,4,8,5,rear,77,7,250,625,dohc,2993,0,Molly Campbell,Credit Card,141.85,7/14/2022
BMW 730Li High Edition,BMW 7-serie,BMW,108.53,G,sedan,5179,1484,1902,1810,242 g/km,2010,petrol,4,6,5,rear,88,10.1,244,605,dohc,2996,190,Michael Hall,Credit Card,102.45,3/15/2022
Ford Fiesta 1.6 16V Ghia,Ford Fiesta,Ford,15.85,G,hatchback,3917,1463,1683,1010,156 g/km,2010,petrol,3,5,5,front,45,6.6,184,515,dohc,1596,74,Karla Calderon,Bank Transfer,17.31,4/2/2020
Volkswagen Golf 1.9 TDI 105hp GT Sport,Volkswagen Golf,Volkswagen,29.45,G,hatchback,4204,1485,1759,1276,137 g/km,2010,diesel,3,7,5,front,55,5.2,185,644,dohc,1896,77,Rebecca Byrd,Credit Card,34.77,9/12/2023
Seat Altea 2.0 TDI 170hp Sport,Seat Altea,Seat,30.995,G,mpv,4280,1568,1768,1405,146 g/km,2010,diesel,5,6,5,front,55,5.6,211,620,ohc,1968,125,Bruce Clark,Cash,32.83,10/3/2020
Renault Megane 1.4 16V 80 Acces,Renault Megane,Renault,17.795,F,hatchback,4209,1457,1777,1120,162 g/km,2010,petrol,3,5,5,front,60,6.9,173,575,dohc,1390,60,Ashley Smith,Cash,19.28,7/27/2020
Jeep Grand Cherokee 3.0 CRD 177kW Overland Summit,Jeep Grand Cherokee,Jeep,93.99,G,suv/crossover,4822,1781,1943,2247,218 g/km,2010,diesel,5,5,5,front+rear,93,8.3,202,702,dohc,2987,177,Heidi Williams,Bank Transfer,88.64,10/13/2020
Audi S3 2.0 TFSI quattro Pro Line,Audi S3,Audi,56.591,G,hatchback,4230,1399,1765,1455,193 g/km,2010,petrol,3,6,5,front+rear,60,8.3,250,560,dohc,1984,195,Matthew Thompson,Cash,65.41,2/27/2019
Datsun Sunny 1500 GL,Datsun Sunny,Datsun,7.667,N.A.,sedan,4080,1365,1590,850,187 g/km,2010,petrol,2,4,0,rear,50,8.2,155,450,ohv,1488,51,Tyler Munoz,Bank Transfer,8.09,6/8/2024
Opel Meriva 1.8-16V Cosmo,Opel Meriva,Opel,22.15,G,mpv,4042,1624,1694,1280,190 g/km,2010,petrol,5,5,5,front,52,7.9,190,555,dohc,1796,92,Keith Carroll,Cash,22.46,3/26/2019
