Buyer,Order_Date,Age,Gender,Income,loyalty_score,Location,PreviousCarOwnership,Purpose_of_Buying,Preference,Index
Mitchell Taylor,6/13/2024,35,Male,4102,3,South,3,Service,hatchback,B_1778
Ryan Gutierrez,8/24/2025,23,Male,9818,5,North,3,Business,mpv,B_1779
Rebecca Humphrey,9/5/2021,64,Male,8032,1,Central,2,Personal,mpv,B_1780
Jason Moore,2/14/2023,25,Male,3432,9,North,1,Service,suv/crossover,B_1781
Richard Carter,4/1/2025,59,Male,3944,8,Central,4,Business,hatchback,B_1782
Patricia Gallagher,9/29/2019,58,Female,5554,4,North,3,Service,sedan,B_1783
Alyssa Miller,10/15/2022,30,Female,8176,9,South,2,Business,sedan,B_1784
James Wallace,5/19/2022,51,Female,8070,7,Central,4,Service,mpv,B_1785
Leah Vargas,11/29/2022,29,Male,5042,4,Central,3,Business,sedan,B_1786
Mary Dudley MD,7/21/2021,59,Female,6921,6,Central,3,Service,stationwagon,B_1787
Mark Warren,5/6/2024,35,Male,4959,6,South,2,Business,mpv,B_1788
Tracey May,11/13/2023,61,Female,9679,10,North,2,Service,stationwagon,B_1789
Lauren Hill,10/2/2023,28,Female,1220,7,South,0,Personal,hatchback,B_1790
Melissa Davis,12/11/2021,52,Male,8808,6,North,1,Service,sedan,B_1791
Emma Lopez,8/6/2025,36,Female,4315,10,North,1,Family,sedan,B_1792
Carol White,7/6/2024,63,Male,858,3,South,0,Personal,coupe,B_1793
Mr. Tyler Gonzalez MD,2/9/2025,51,Female,4699,3,North,5,Family,hatchback,B_1794
Jared Lee,12/20/2022,30,Female,6780,8,South,3,Family,sedan,B_1795
Robert Miller,10/7/2019,62,Male,4854,1,North,4,Family,sedan,B_1796
Jennifer Nichols,3/8/2024,42,Male,7698,3,South,3,Business,stationwagon,B_1797
Tammy Knapp,1/15/2021,50,Female,845,8,North,0,Family,hatchback,B_1798
Wanda Mills,11/28/2022,22,Male,1307,2,North,3,Personal,sedan,B_1799
Jeffery Perry,7/17/2022,53,Female,5353,2,North,2,Personal,sedan,B_1800
Megan Mclean,12/16/2018,20,Male,2459,4,South,2,Personal,hatchback,B_1801
Harry Gordon,12/29/2021,36,Female,2318,3,North,2,Business,suv/crossover,B_1802
Harold Davis,9/2/2024,29,Male,5880,1,North,3,Business,hatchback,B_1803
Mitchell Castaneda,5/10/2024,51,Female,9616,7,North,4,Service,sedan,B_1804
Emily Ryan,1/25/2023,59,Male,9230,1,South,1,Family,hatchback,B_1805
Sandra Johnson,4/17/2023,64,Male,629,8,Central,0,Family,stationwagon,B_1806
Dr. Jennifer Kelley,11/18/2019,24,Female,7747,7,North,2,Service,bus,B_1807
Micheal Espinoza,7/22/2023,58,Male,3390,9,South,3,Business,suv/crossover,B_1808
Steven Bell,5/16/2020,51,Male,6163,3,South,3,Business,stationwagon,B_1809
Richard Simmons,5/10/2022,32,Male,6618,6,North,2,Service,hatchback,B_1810
Tara Klein,2/14/2025,42,Female,9771,3,South,5,Personal,suv/crossover,B_1811
Michelle Taylor,5/9/2025,24,Female,8811,2,Central,2,Business,sedan,B_1812
Anthony Howard,7/30/2021,20,Female,7774,4,North,4,Service,hatchback,B_1813
Ashley Nguyen,8/30/2022,25,Female,8547,1,South,3,Family,sedan,B_1814
Melissa Butler,8/18/2023,55,Male,9064,6,Central,2,Service,mpv,B_1815
Brent Cohen,6/21/2024,29,Male,6593,7,South,1,Business,suv/crossover,B_1816
Samuel Freeman,6/1/2020,59,Male,8604,1,North,2,Service,hatchback,B_1817
Heather Davis,1/1/2021,33,Female,7315,6,South,2,Personal,hatchback,B_1818
Alicia Gutierrez,12/7/2020,47,Female,959,6,North,0,Personal,hatchback,B_1819
Jeffrey Sparks,12/31/2024,25,Male,3871,9,South,2,Business,stationwagon,B_1820
Linda Barber,1/11/2023,58,Female,5576,1,Central,1,Business,hatchback,B_1821
Christian Wallace,8/12/2019,58,Female,8720,9,South,2,Family,suv/crossover,B_1822
Michele Hill,6/10/2019,50,Male,9493,10,North,4,Service,hatchback,B_1823
Tiffany Murray,5/24/2025,62,Male,7870,8,North,4,Business,sedan,B_1824
Barbara Campbell,2/5/2020,38,Female,8036,3,South,3,Business,stationwagon,B_1825
Shannon Winters,12/4/2024,51,Female,3425,8,Central,4,Family,mpv,B_1826
Tammy Becker,2/16/2021,60,Female,905,4,South,1,Family,hatchback,B_1827
Michelle Medina,2/2/2019,37,Female,3585,8,Central,4,Service,hatchback,B_1828
Jacob Harris,3/30/2019,60,Male,3037,3,Central,3,Service,sedan,B_1829
Laura Henderson,8/6/2021,64,Female,3109,9,South,5,Business,sedan,B_1830
Douglas Tapia,2/3/2024,64,Female,2047,7,South,1,Personal,stationwagon,B_1831
Anthony Acosta,2/4/2025,54,Male,6593,3,North,3,Business,sedan,B_1832
Jennifer Diaz,3/1/2022,52,Female,6031,8,South,3,Business,sedan,B_1833
John Barajas,4/15/2021,63,Female,9775,6,Central,3,Service,mpv,B_1834
Brian Huerta,3/24/2022,26,Male,9256,6,Central,2,Personal,hatchback,B_1835
Renee Ponce,6/29/2019,31,Male,2362,9,North,2,Personal,van,B_1836
Ronnie Grant,5/3/2025,53,Male,4908,8,North,3,Service,cabriolet,B_1837
Erika Mcintyre,4/12/2020,29,Male,1075,8,Central,2,Personal,stationwagon,B_1838
Peter Castillo,11/10/2022,28,Female,1170,10,Central,2,Personal,hatchback,B_1839
Shawn Hale,1/3/2019,46,Female,5181,8,Central,4,Family,suv/crossover,B_1840
Rebecca Combs,2/3/2019,51,Male,6456,1,North,2,Family,mpv,B_1841
Drew Santiago,3/22/2024,52,Male,2267,8,North,2,Family,coupe,B_1842
Lauren Chandler,7/18/2020,49,Female,2376,10,Central,1,Family,stationwagon,B_1843
Rachel Cook,4/26/2023,38,Female,693,7,North,0,Family,suv/crossover,B_1844
Shawn Craig,10/13/2021,60,Male,3936,7,North,1,Personal,hatchback,B_1845
Brady White,3/20/2023,62,Male,3613,7,Central,2,Service,stationwagon,B_1846
Lisa Lee,3/24/2021,39,Male,4921,1,Central,4,Personal,hatchback,B_1847
David Morales,11/3/2024,31,Female,9968,2,North,2,Service,sedan,B_1848
Terri Horton,6/14/2024,56,Male,2337,1,South,1,Business,hatchback,B_1849
Keith Santiago,3/22/2019,45,Female,1053,10,North,1,Personal,suv/crossover,B_1850
Sarah Alvarado,8/23/2021,23,Male,6054,5,South,5,Family,sedan,B_1851
Lisa Reynolds,1/20/2024,48,Male,1799,8,Central,0,Business,suv/crossover,B_1852
Carrie Wang,9/24/2022,65,Female,5521,7,North,4,Business,mpv,B_1853
Bernard Hansen,6/18/2022,22,Male,4544,9,North,3,Personal,hatchback,B_1854
Rachel Farmer,5/20/2023,37,Male,4224,2,North,3,Family,mpv,B_1855
Bill Meyers,9/9/2019,45,Male,7112,6,Central,2,Business,hatchback,B_1856
Alicia Vazquez,2/17/2024,34,Male,7515,8,Central,2,Family,stationwagon,B_1857
Amanda Wheeler,3/11/2020,38,Male,2776,1,Central,2,Personal,hatchback,B_1858
Richard Kim,8/23/2025,32,Male,9542,5,South,1,Business,hatchback,B_1859
Michael Horton,12/21/2020,44,Female,9444,6,North,2,Business,hatchback,B_1860
Brianna Chavez,11/11/2020,39,Female,1064,1,South,0,Family,suv/crossover,B_1861
Samuel Austin,6/10/2019,35,Female,6459,6,Central,4,Personal,stationwagon,B_1862
Donna Johnson,4/9/2020,23,Female,5649,5,Central,2,Service,stationwagon,B_1863
Tasha Ortega,1/27/2023,22,Male,8424,7,North,3,Family,hatchback,B_1864
Christopher Avery,8/5/2019,59,Male,6165,8,South,2,Personal,stationwagon,B_1865
Christina Lin,6/18/2022,63,Male,9760,3,South,3,Business,stationwagon,B_1866
Katelyn Johnson,2/8/2023,48,Male,1981,7,South,2,Family,hatchback,B_1867
Randall Ryan,8/2/2025,42,Male,8806,9,Central,1,Business,coupe,B_1868
Sean Lopez,9/2/2024,54,Male,6688,1,North,4,Personal,mpv,B_1869
Michael Armstrong,7/16/2024,28,Female,1880,8,North,1,Family,sedan,B_1870
Joshua Cook,12/5/2020,63,Male,3513,8,Central,2,Family,hatchback,B_1871
Megan Pierce,1/10/2023,47,Male,2767,10,South,1,Family,hatchback,B_1872
Bethany Hart,8/29/2025,20,Male,8085,1,South,2,Family,hatchback,B_1873
Michelle Carter,12/13/2020,61,Female,2005,7,North,2,Personal,sedan,B_1874
Cameron Harrison,9/20/2024,32,Female,2077,10,Central,1,Family,hatchback,B_1875
Evan Lee,3/24/2022,27,Male,7677,3,South,4,Business,hatchback,B_1876
Suzanne Morris,1/21/2019,59,Male,3502,8,North,2,Business,hatchback,B_1877
Lisa Brady,1/25/2019,21,Female,3262,3,North,2,Service,sedan,B_1878
Steven Hall,11/1/2023,26,Female,7318,3,Central,1,Business,cabriolet,B_1879
John Walker,5/10/2023,56,Male,6512,10,South,1,Service,hatchback,B_1880
Jim Nicholson,9/17/2023,41,Female,4923,1,Central,3,Family,stationwagon,B_1881
Lori Fletcher,10/27/2024,32,Female,4197,10,Central,3,Family,suv/crossover,B_1882
Anthony Carter,1/15/2020,53,Female,1149,3,South,2,Family,sedan,B_1883
Robin Davis,4/2/2019,41,Female,8150,3,North,3,Family,hatchback,B_1884
Tiffany Jenkins DVM,3/8/2021,30,Female,6500,5,South,2,Service,hatchback,B_1885
Justin Hall,9/8/2024,54,Female,4566,4,Central,5,Family,sedan,B_1886
Heather Newton,3/10/2024,49,Male,6178,6,Central,2,Family,bus,B_1887
Karen James,6/6/2020,55,Male,8742,4,Central,3,Family,hatchback,B_1888
James Williams,1/11/2019,30,Female,5110,9,South,2,Service,sedan,B_1889
Andrew Evans,11/29/2018,33,Female,1245,5,North,2,Personal,stationwagon,B_1890
Christopher Johnson,6/2/2019,24,Female,3459,10,Central,5,Family,sedan,B_1891
Evelyn Swanson,5/3/2024,57,Female,4452,3,Central,3,Service,hatchback,B_1892
John Harris,5/14/2019,24,Male,2849,4,North,1,Personal,hatchback,B_1893
Stephanie May,4/14/2019,55,Male,2853,3,South,0,Personal,mpv,B_1894
Sheila Blankenship,9/15/2019,50,Female,8331,9,South,2,Business,suv/crossover,B_1895
Megan Smith,10/6/2024,61,Male,7617,6,South,2,Personal,cabriolet,B_1896
Gerald Lewis,6/23/2022,65,Male,5103,7,Central,2,Family,sedan,B_1897
Jessica Sanchez,6/20/2025,55,Female,8552,9,North,2,Service,coupe,B_1898
Leah Brown,7/25/2021,50,Female,651,2,South,0,Family,suv/crossover,B_1899
Briana Clark,3/17/2025,28,Male,6625,2,North,5,Business,sedan,B_1900
Manuel Soto,7/1/2022,60,Female,7942,9,Central,3,Family,hatchback,B_1901
Melanie Hoffman,4/19/2020,27,Male,2407,8,North,1,Business,mpv,B_1902
Corey Shea,9/16/2021,65,Female,1763,7,South,1,Personal,stationwagon,B_1903
Mrs. Rachel Edwards,11/19/2024,54,Female,1043,8,North,0,Family,hatchback,B_1904
Heather Meyer,3/17/2023,43,Male,2614,1,Central,0,Family,sedan,B_1905
Derek Raymond,7/15/2021,56,Male,6447,10,North,2,Service,mpv,B_1906
Curtis Williams,4/29/2020,31,Male,8692,4,South,2,Family,hatchback,B_1907
Michael Steele,11/5/2021,41,Male,1857,9,Central,0,Business,suv/crossover,B_1908
Sara Burgess,2/29/2020,37,Male,3569,3,Central,3,Personal,stationwagon,B_1909
Jonathan Beasley,4/13/2025,46,Female,5393,7,Central,1,Personal,sedan,B_1910
Briana Castillo,1/14/2024,31,Female,4991,3,North,2,Family,sedan,B_1911
Julia Smith,1/6/2025,64,Male,7651,10,South,3,Family,hatchback,B_1912
Timothy Glass,2/11/2024,50,Male,3518,7,Central,2,Family,hatchback,B_1913
Laurie Mendoza,8/14/2024,54,Male,7105,1,Central,1,Business,sedan,B_1914
Kristen Johnson,10/7/2022,62,Male,1061,9,North,1,Personal,suv/crossover,B_1915
Kimberly Marshall,10/5/2020,48,Male,6195,6,South,3,Personal,stationwagon,B_1916
Sabrina Graves,1/17/2019,26,Female,8068,6,North,1,Business,stationwagon,B_1917
Bradley Vaughan,5/7/2022,31,Male,8704,3,Central,3,Family,sedan,B_1918
Chris Holmes,9/15/2025,43,Female,8877,5,North,5,Business,sedan,B_1919
Kenneth Gross,2/18/2019,58,Male,2210,5,Central,1,Family,sedan,B_1920
Justin Cooke,9/7/2024,49,Male,7235,9,Central,1,Family,stationwagon,B_1921
Alex Downs,7/13/2020,33,Female,7470,1,Central,4,Family,van,B_1922
Michelle Bryan,4/3/2024,49,Male,1537,8,South,2,Personal,hatchback,B_1923
Valerie Hall DVM,7/2/2025,37,Male,6683,8,North,3,Business,stationwagon,B_1924
Brandon Wright,10/10/2020,41,Female,7097,8,South,2,Service,coupe,B_1925
Donald Walker,4/11/2025,42,Female,6858,7,Central,3,Service,coupe,B_1926
Amy Dunlap,10/26/2019,60,Female,2676,7,North,1,Family,hatchback,B_1927
John Turner,11/27/2020,64,Female,8521,10,North,2,Service,stationwagon,B_1928
Nathaniel Hughes,1/14/2019,43,Female,2036,6,North,3,Family,hatchback,B_1929
Stephanie Ray,6/23/2023,41,Male,6487,9,South,2,Business,hatchback,B_1930
Christopher Ball,5/5/2020,53,Female,3992,4,South,4,Business,stationwagon,B_1931
Frederick Blankenship,11/10/2019,42,Female,7148,5,Central,3,Personal,hatchback,B_1932
Michael Foster,12/31/2022,46,Female,7731,7,North,3,Business,sedan,B_1933
Dennis Castillo,11/30/2020,21,Female,1465,4,Central,3,Personal,hatchback,B_1934
Shane Williams,7/25/2024,64,Male,6766,8,Central,1,Business,hatchback,B_1935
Virginia Reed,9/24/2021,44,Female,8494,9,South,1,Business,hatchback,B_1936
Jennifer Burgess,4/8/2020,20,Male,5940,5,South,3,Business,cabriolet,B_1937
Jon Guerra,9/9/2022,33,Male,6078,2,South,2,Business,stationwagon,B_1938
Jill Adams,9/29/2019,55,Male,2241,8,North,1,Family,hatchback,B_1939
Thomas Mcguire PhD,1/19/2021,47,Male,3342,10,Central,1,Family,suv/crossover,B_1940
Mary Howell,5/7/2021,31,Female,8359,6,South,3,Family,cabriolet,B_1941
Lynn Sanchez,2/6/2024,44,Male,7955,3,North,2,Service,sedan,B_1942
Julie Ford,4/21/2022,37,Male,4515,6,North,5,Family,hatchback,B_1943
Timothy Ross,8/3/2025,48,Female,5539,1,Central,2,Personal,van,B_1944
Christopher Ruiz,5/13/2023,52,Male,7373,6,North,5,Service,suv/crossover,B_1945
Karen Diaz,10/31/2019,48,Male,6247,1,North,2,Personal,hatchback,B_1946
Rebecca Smith,7/7/2021,42,Female,7874,5,Central,5,Family,mpv,B_1947
Timothy Robertson,9/19/2024,44,Male,6212,4,North,2,Personal,hatchback,B_1948
Angela Ferguson,7/6/2023,25,Female,1403,8,North,1,Personal,cabriolet,B_1949
Bradley Hughes,2/23/2022,40,Female,2334,2,South,2,Personal,stationwagon,B_1950
Michael Nichols,5/7/2019,57,Female,2347,2,Central,0,Personal,sedan,B_1951
Jonathan Peters,1/22/2020,62,Female,9462,2,North,2,Service,sedan,B_1952
Kimberly Rodriguez,10/18/2022,50,Male,6166,1,North,4,Business,coupe,B_1953
Kathleen Chambers,12/11/2023,52,Male,7457,1,North,1,Business,hatchback,B_1954
Heather Phelps,4/6/2020,64,Female,5271,4,Central,2,Personal,sedan,B_1955
Anthony Richards,5/9/2024,61,Male,7248,3,North,2,Personal,hatchback,B_1956
Gary Myers,8/13/2021,32,Male,2065,10,North,0,Personal,stationwagon,B_1957
Jessica Murphy,4/22/2025,37,Female,7845,5,North,3,Service,sedan,B_1958
Emily Burke,8/28/2020,55,Male,4940,4,North,4,Service,hatchback,B_1959
Jennifer Morris,4/28/2019,21,Female,1751,9,North,1,Personal,hatchback,B_1960
Steven Rowland,4/19/2024,55,Male,6839,10,Central,3,Service,stationwagon,B_1961
Timothy Schneider,2/12/2024,60,Female,5256,8,Central,4,Family,sedan,B_1962
Denise Holden,5/26/2019,51,Male,3686,4,North,2,Family,hatchback,B_1963
Tonya Jacobson,4/4/2020,56,Male,5316,8,Central,3,Service,stationwagon,B_1964
Holly Pearson,4/30/2019,51,Female,4004,7,Central,4,Family,suv/crossover,B_1965
Tyler Christensen,9/28/2021,23,Female,1725,4,North,2,Family,sedan,B_1966
Robert Warner,5/19/2023,24,Female,716,7,South,0,Family,sedan,B_1967
Christian Brown,9/17/2023,59,Male,5041,1,South,5,Personal,sedan,B_1968
Dustin Gardner,3/22/2023,25,Male,6649,8,North,4,Family,stationwagon,B_1969
Anna Rush,4/28/2021,35,Male,2166,4,South,0,Business,stationwagon,B_1970
Isaac Kane,8/22/2024,38,Female,6774,8,South,2,Service,cabriolet,B_1971
Kevin Parks,10/30/2021,21,Female,6891,9,Central,4,Family,hatchback,B_1972
Eileen Shields,1/16/2023,56,Female,3380,8,Central,4,Personal,hatchback,B_1973
Bryce Anderson,7/1/2019,27,Male,6364,9,North,3,Service,suv/crossover,B_1974
Jonathan Castillo,2/17/2022,57,Male,3804,5,South,3,Family,stationwagon,B_1975
Brittany Fuller,7/10/2025,33,Female,8898,9,South,2,Personal,hatchback,B_1976
Elizabeth Lin,7/1/2020,51,Female,6327,3,South,5,Family,hatchback,B_1977
Jermaine Smith,8/23/2019,35,Male,2105,2,Central,3,Family,sedan,B_1978
Jon Hopkins,11/10/2020,41,Female,7329,10,North,4,Service,hatchback,B_1979
Angel Lawrence,7/1/2023,41,Female,4175,2,South,2,Business,van,B_1980
Jason Flores,3/4/2022,56,Male,2362,9,Central,1,Personal,coupe,B_1981
Ashley Lyons,11/8/2022,21,Female,6446,2,South,5,Personal,stationwagon,B_1982
Rebecca Cantu,9/15/2020,33,Female,8027,8,North,2,Business,sedan,B_1983
Cynthia Johnson,4/19/2023,55,Female,529,8,North,0,Family,mpv,B_1984
Cathy Johnson,11/27/2023,38,Male,6815,8,Central,4,Business,hatchback,B_1985
John Mata,2/26/2022,60,Male,9499,10,North,1,Service,hatchback,B_1986
Jennifer Edwards,1/13/2023,48,Female,1202,9,North,0,Personal,hatchback,B_1987
Patricia Miller,10/4/2024,34,Female,8029,7,South,3,Business,stationwagon,B_1988
Kimberly Ruiz MD,5/12/2020,46,Female,7568,9,North,3,Family,hatchback,B_1989
Dr. Jessica Perez,6/6/2020,41,Male,7094,1,South,2,Service,hatchback,B_1990
Paul Scott,7/13/2019,24,Female,8424,7,South,3,Business,suv/crossover,B_1991
Jonathan Eaton,4/12/2021,30,Male,2842,9,South,2,Business,sedan,B_1992
Devon Chandler,12/31/2023,39,Male,4736,8,South,2,Service,hatchback,B_1993
Linda Hunter,3/27/2025,44,Female,3589,6,North,3,Personal,stationwagon,B_1994
Christopher Montgomery,1/6/2024,64,Female,4361,5,South,3,Service,stationwagon,B_1995
Taylor Kane,4/26/2020,36,Male,9305,3,Central,1,Personal,suv/crossover,B_1996
Jamie Wilson,5/25/2021,23,Female,1276,2,Central,1,Family,stationwagon,B_1997
Steven Kline,7/10/2021,46,Male,3807,7,North,4,Family,sedan,B_1998
Zachary Howe,9/30/2019,59,Male,1512,9,North,3,Family,stationwagon,B_1999
Earl Colon,11/5/2024,24,Male,8726,5,South,4,Personal,suv/crossover,B_2000
Stephen Jimenez,6/16/2020,44,Female,1134,5,Central,2,Personal,stationwagon,B_2001
Nicole Smith,1/26/2020,27,Female,7509,7,North,2,Business,hatchback,B_2002
Kelsey Brown,10/20/2020,24,Male,7108,9,North,1,Business,mpv,B_2003
Kevin Baker,2/19/2021,55,Male,8581,6,North,2,Family,stationwagon,B_2004
Jordan Vasquez,3/23/2024,42,Female,2305,6,North,2,Personal,cabriolet,B_2005
Michael Ramos,11/12/2022,60,Female,4583,4,Central,1,Personal,hatchback,B_2006
Mrs. Sarah Mcclure DVM,8/30/2020,62,Female,7815,8,Central,3,Business,coupe,B_2007
Jessica Carney,11/17/2022,62,Female,5835,3,South,5,Business,sedan,B_2008
Shelly Montgomery,7/11/2020,49,Male,3739,5,Central,4,Family,hatchback,B_2009
Laura Rogers,9/2/2020,64,Female,6644,6,North,2,Service,stationwagon,B_2010
Sean Steele,5/10/2020,28,Male,7931,2,North,3,Family,mpv,B_2011
Sherri Nolan,1/24/2024,52,Male,8958,5,Central,2,Family,sedan,B_2012
Angelica Green,8/5/2023,63,Male,5321,3,North,2,Business,sedan,B_2013
Jerry Moore,7/29/2025,52,Male,1552,9,North,2,Family,sedan,B_2014
Trevor Nicholson,1/17/2023,26,Male,7887,7,North,1,Business,sedan,B_2015
Brenda Blankenship,12/28/2022,57,Female,2419,10,South,1,Business,suv/crossover,B_2016
Jessica Hall,6/25/2025,28,Female,4568,9,Central,4,Family,sedan,B_2017
Danny Randolph,3/11/2024,36,Female,3684,3,South,1,Family,suv/crossover,B_2018
Anne Anderson,1/2/2025,41,Male,8243,7,Central,5,Family,sedan,B_2019
Caitlyn Evans,5/24/2020,25,Male,5141,6,South,4,Business,sedan,B_2020
Jennifer Steele,1/2/2024,44,Male,3469,8,North,3,Personal,van,B_2021
George Hanson,6/30/2022,50,Male,8806,7,North,3,Service,coupe,B_2022
Kelsey Spencer,7/19/2019,26,Male,5162,4,North,5,Personal,coupe,B_2023
Jennifer Rodriguez,11/30/2023,61,Male,6671,8,North,3,Personal,cabriolet,B_2024
Amanda Singh,10/19/2019,36,Female,3041,1,Central,4,Business,sedan,B_2025
Danielle Turner,12/13/2021,41,Female,6330,4,Central,4,Family,coupe,B_2026
Jay Norman,1/16/2022,63,Female,5919,5,Central,1,Personal,hatchback,B_2027
Glenn Shaw,10/3/2022,60,Male,7283,6,South,3,Service,suv/crossover,B_2028
Christina Floyd,12/7/2022,28,Male,8688,8,South,5,Business,sedan,B_2029
Jacob Roberts,2/26/2023,46,Male,1980,7,North,1,Family,hatchback,B_2030
Elizabeth Lee,2/25/2019,25,Male,3631,3,South,3,Family,hatchback,B_2031
Matthew Wright,5/24/2019,35,Female,8761,8,North,4,Personal,stationwagon,B_2032
Amy Foley,1/20/2023,31,Female,7325,3,North,2,Business,hatchback,B_2033
Jesse Simpson,8/18/2024,50,Male,3802,5,South,3,Family,hatchback,B_2034
Diana Johnson,6/25/2019,34,Female,4926,2,South,4,Family,coupe,B_2035
Michelle Guzman,11/12/2024,49,Female,6099,5,North,5,Business,hatchback,B_2036
Tim Harris,4/29/2021,22,Female,9894,9,Central,5,Personal,suv/crossover,B_2037
Erin Montoya,9/18/2018,62,Male,4957,5,Central,2,Family,hatchback,B_2038
Cassandra Haney,4/4/2022,42,Male,5967,10,North,1,Business,hatchback,B_2039
Charles Richardson,9/25/2024,32,Male,8039,6,North,3,Personal,hatchback,B_2040
Brenda Glover,2/15/2024,48,Female,2955,3,North,3,Family,hatchback,B_2041
Martin Walter,12/3/2023,55,Male,1450,2,North,2,Family,coupe,B_2042
Brenda Manning,5/13/2019,56,Male,2934,6,North,1,Family,sedan,B_2043
Richard Stanley,6/26/2024,35,Male,4503,6,North,3,Business,suv/crossover,B_2044
Andrea Taylor,6/13/2023,63,Female,6108,5,Central,3,Family,stationwagon,B_2045
Megan Joseph,5/20/2020,22,Male,9589,10,Central,1,Personal,stationwagon,B_2046
Laura Shaw,3/24/2020,64,Male,1962,1,North,2,Family,hatchback,B_2047
Toni Gonzales,7/5/2019,64,Female,3165,10,South,3,Service,sedan,B_2048
Louis Gonzales,3/23/2022,64,Male,7814,7,South,5,Personal,sedan,B_2049
Marie Bolton,8/25/2025,54,Male,5405,3,South,5,Personal,suv/crossover,B_2050
Rachel James,6/20/2024,58,Female,7064,4,North,3,Business,sedan,B_2051
Jessica Davis,12/31/2019,60,Male,7753,4,South,3,Personal,hatchback,B_2052
Lauren Chapman,3/11/2022,42,Female,1917,10,South,2,Family,hatchback,B_2053
Nancy Henry,8/9/2020,65,Male,7292,10,North,2,Personal,mpv,B_2054
Nathaniel Martin,11/3/2022,42,Male,1905,9,North,1,Family,hatchback,B_2055
Laura Kelly,10/2/2022,61,Male,6319,6,Central,5,Service,sedan,B_2056
Jaime White,1/21/2023,20,Male,9422,1,South,4,Service,cabriolet,B_2057
Justin Harris,11/7/2019,37,Male,1450,9,North,2,Family,hatchback,B_2058
Rebecca Friedman,6/28/2019,49,Male,6185,7,North,2,Family,stationwagon,B_2059
Ian Rodriguez,4/28/2023,44,Female,5901,3,North,3,Business,sedan,B_2060
Richard Davila,8/9/2025,60,Male,813,4,Central,0,Family,sedan,B_2061
Monica Burnett DDS,4/3/2019,58,Male,6070,5,Central,3,Personal,suv/crossover,B_2062
Shelly Hart,3/11/2022,42,Female,9344,8,Central,3,Family,hatchback,B_2063
Janice Gray,6/18/2023,33,Male,1519,5,South,1,Personal,hatchback,B_2064
Douglas Bryant,1/29/2024,45,Female,9273,1,North,3,Personal,sedan,B_2065
Betty Gomez,1/23/2024,43,Male,1986,2,South,1,Personal,sedan,B_2066
Kristin Nunez,1/24/2025,54,Female,4479,3,North,4,Family,hatchback,B_2067
Christine Townsend,10/18/2018,64,Female,3474,10,Central,3,Family,hatchback,B_2068
Emily Riley,5/19/2023,21,Female,693,10,South,1,Personal,hatchback,B_2069
Karen Gutierrez,10/8/2018,57,Female,9410,3,North,4,Personal,suv/crossover,B_2070
Jamie Smith,4/23/2022,20,Male,3560,3,South,2,Personal,stationwagon,B_2071
Christopher Nichols,12/7/2018,23,Male,6119,8,Central,3,Personal,hatchback,B_2072
Shelly Jacobs,12/4/2023,46,Female,4572,3,North,5,Family,coupe,B_2073
George Guerrero,11/3/2020,42,Male,1273,2,Central,1,Family,stationwagon,B_2074
James Miller,7/18/2024,51,Male,6449,10,Central,4,Business,suv/crossover,B_2075
Patricia Montoya,8/4/2025,49,Female,6411,1,North,3,Family,stationwagon,B_2076
Michelle Walker,2/19/2024,60,Female,7035,3,South,4,Business,sedan,B_2077
Melvin Pope,4/21/2019,54,Male,9824,6,Central,2,Family,sedan,B_2078
Sandra Hicks MD,8/22/2024,52,Male,4687,9,Central,1,Family,cabriolet,B_2079
Joshua Burke,10/29/2021,57,Female,4853,3,Central,3,Business,sedan,B_2080
Gordon Young,2/25/2025,41,Female,6392,4,North,2,Family,hatchback,B_2081
Travis Herring,9/25/2021,35,Female,8319,10,Central,2,Personal,suv/crossover,B_2082
Carolyn Lewis,2/19/2025,64,Male,7349,3,Central,3,Family,hatchback,B_2083
David Jones,9/30/2024,65,Male,6662,3,North,3,Service,hatchback,B_2084
Jennifer Reed,12/18/2018,27,Female,3060,3,North,1,Family,hatchback,B_2085
Mary Kennedy,4/5/2021,21,Male,5389,1,Central,1,Service,hatchback,B_2086
Tammy Simmons,2/26/2025,60,Female,3663,1,South,3,Business,hatchback,B_2087
Joseph Powell,12/14/2024,57,Male,7049,5,Central,2,Service,mpv,B_2088
Mikayla Graham,5/10/2025,37,Male,5717,1,South,5,Service,hatchback,B_2089
Robert Carter,1/31/2020,41,Male,1600,10,Central,0,Business,sedan,B_2090
Michael Brown,3/20/2023,39,Female,1296,4,South,1,Personal,sedan,B_2091
Melinda Padilla,7/16/2021,60,Male,9671,8,Central,4,Family,sedan,B_2092
Walter Jackson,9/14/2024,42,Male,9128,8,South,2,Family,cabriolet,B_2093
Charles Palmer,6/30/2021,49,Female,6988,2,North,2,Service,sedan,B_2094
Jordan Young,8/22/2021,36,Male,4707,3,Central,5,Business,hatchback,B_2095
Dakota Williams DVM,6/15/2019,65,Male,5443,3,North,2,Business,sedan,B_2096
Linda Williams,2/13/2022,37,Male,5114,2,South,3,Business,suv/crossover,B_2097
Sheri Durham,10/21/2022,26,Male,3256,9,South,5,Service,sedan,B_2098
Corey James DDS,7/11/2020,24,Male,4438,5,South,2,Business,mpv,B_2099
Andrea Rojas,6/27/2020,36,Female,6874,6,South,4,Business,sedan,B_2100
Jessica Fischer,5/26/2024,50,Female,6735,7,South,5,Personal,mpv,B_2101
